customer_id,recency,frequency,monetary,r_score,f_score,m_score,rfm_total,cluster,avg_order_value,purchase_frequency,cltv,cltv_scaled
12636.0,739,1,1410.0,1,1,1,3,2,1410.0,1,423.0,0.00022675059093947016
13526.0,739,2,11820.0,1,2,3,6,2,5910.0,2,3546.0,0.0019366192267090353
17056.0,739,1,1286.0,1,1,1,3,2,1286.0,1,385.8,0.0002063832796200248
14654.0,739,1,2468.6,1,1,1,3,2,2468.6,1,740.5799999999999,0.00040062829870370276
17592.0,739,1,1483.0,1,1,1,3,2,1483.0,1,444.9,0.0002387410242162404
14980.0,738,1,1506.8,1,1,1,3,2,1506.8,1,452.03999999999996,0.00024265023396948876
17909.0,738,1,1325.5,1,1,1,3,2,1325.5,1,397.65,0.000212871253790332
17606.0,738,1,873.0,1,1,1,3,2,873.0,1,261.9,0.00013854699272542056
15833.0,738,1,804.0,1,1,1,3,2,804.0,1,241.2,0.00012721356949121307
17087.0,738,1,2215.3,1,1,1,3,2,2215.3,1,664.59,0.00035902313775841647
17818.0,738,1,1301.8,1,1,1,3,2,1301.8,1,390.53999999999996,0.00020897846928814767
14106.0,738,1,2148.0,1,1,1,3,2,2148.0,1,644.4,0.0003479689437922981
12934.0,737,1,1816.5,1,1,1,3,2,1816.5,1,544.9499999999999,0.00029351923651490993
14750.0,737,1,1120.3,1,2,1,4,2,1120.3,1,336.09,0.00017916663860686276
16301.0,737,1,1073.3,1,1,1,3,2,1073.3,1,321.98999999999995,0.00017144677060675038
14347.0,737,1,826.0,1,1,1,3,2,826.0,1,247.79999999999998,0.0001308271247253082
15794.0,737,2,7770.0,1,2,2,5,2,3885.0,2,2331.0,0.0012713965586142477
17271.0,737,1,2103.9,1,1,1,3,2,2103.9,1,631.17,0.00034072540807304373
16541.0,736,1,4240.3,1,1,2,4,2,4240.3,1,1272.09,0.0006916344718058102
16192.0,736,1,3513.0,1,2,2,5,2,3513.0,1,1053.8999999999999,0.0005721736208168376
17151.0,736,1,2319.0,1,1,1,3,2,2319.0,1,695.6999999999999,0.00037605612311185577
15999.0,736,1,204.0,1,1,1,3,2,204.0,1,61.199999999999996,2.86620631068001e-05
16645.0,736,1,1603.9,1,1,1,3,2,1603.9,1,481.17,0.00025859915275269963
14979.0,736,1,4394.6,1,1,2,4,2,4394.6,1,1318.38,0.0007169786341976685
16410.0,735,1,1303.2,1,1,1,3,2,1303.2,1,390.96,0.00020920842280304464
16277.0,734,1,1886.9,1,1,1,3,2,1886.9,1,566.07,0.0003050826132640144
16964.0,734,2,2078.5,1,2,1,4,2,1039.25,2,623.55,0.00033655339430277025
14717.0,734,1,813.0,1,1,1,3,2,813.0,1,243.89999999999998,0.00012869184208697925
14123.0,734,1,4361.8,1,1,2,4,2,4361.8,1,1308.54,0.0007115911518486539
